Date,Open,High,Low,Close,Adj Close,Volume
2012-10-08,145.600006,146.119995,145.309998,145.639999,145.639999,78415400
2012-10-09,145.529999,145.649994,144.149994,144.199997,144.199997,148872900
2012-10-10,144.179993,144.320007,143.089996,143.279999,143.279999,124247500
2012-10-11,144.279999,144.490005,143.330002,143.360001,143.360001,123601500
2012-10-12,143.460007,143.949997,142.580002,142.889999,142.889999,124181900
2012-10-15,143.229996,144.229996,142.770004,144.080002,144.080002,107689100
2012-10-16,144.759995,145.639999,144.660004,145.539993,145.539993,108815500
2012-10-17,145.639999,146.320007,145.419998,146.199997,146.199997,128834100
2012-10-18,145.820007,146.520004,145.330002,145.820007,145.820007,148108500
2012-10-19,145.550003,145.559998,143.050003,143.389999,143.389999,185645200
2012-10-22,143.149994,143.669998,142.279999,143.410004,143.410004,125578600
2012-10-23,141.860001,142.059998,140.830002,141.419998,141.419998,192056300
2012-10-24,141.929993,142.100006,140.800003,141.020004,141.020004,120179400
2012-10-25,142.020004,142.279999,140.570007,141.429993,141.429993,134457400
2012-10-26,141.300003,141.839996,140.389999,141.350006,141.350006,146023500
2012-10-31,141.850006,142.029999,140.679993,141.350006,141.350006,103438500
2012-11-01,141.649994,143.009995,141.520004,142.830002,142.830002,100995600
2012-11-02,143.679993,143.720001,141.410004,141.559998,141.559998,137702200
2012-11-05,141.350006,142.169998,140.929993,141.850006,141.850006,98378500
2012-11-06,142.279999,143.520004,142.130005,142.960007,142.960007,107068100
2012-11-07,141.660004,141.679993,139.059998,139.720001,139.720001,264304500
2012-11-08,139.699997,140.410004,137.929993,138.039993,138.039993,181517300
2012-11-09,137.619995,139.440002,137.550003,138.160004,138.160004,201055300
2012-11-12,138.589996,138.809998,137.960007,138.270004,138.270004,97677500
2012-11-13,137.539993,139.250000,137.360001,137.789993,137.789993,123018300
2012-11-14,138.210007,138.429993,135.619995,135.929993,135.929993,191505000
2012-11-15,135.979996,136.490005,135.179993,135.699997,135.699997,178128400
2012-11-16,135.899994,136.639999,134.699997,136.369995,136.369995,239483900
2012-11-19,137.899994,139.149994,136.410004,139.130005,139.130005,151495800
2012-11-20,138.910004,139.419998,138.080002,139.190002,139.190002,119807400
2012-11-21,139.309998,139.570007,139.029999,139.449997,139.449997,81710800
2012-11-23,140.130005,141.399994,140.039993,141.350006,141.350006,65409200
2012-11-26,140.649994,141.360001,140.190002,141.050003,141.050003,100124400
2012-11-27,140.910004,141.389999,140.240005,140.330002,140.330002,128646200
2012-11-28,139.759995,141.539993,139.000000,141.460007,141.460007,177086500
2012-11-29,141.990005,142.509995,141.369995,142.119995,142.119995,151085900
2012-11-30,142.139999,142.419998,141.660004,142.149994,142.149994,136568300
2012-12-03,142.800003,142.919998,141.339996,141.449997,141.449997,124656300
2012-12-04,141.440002,141.869995,140.869995,141.250000,141.250000,127512200
2012-12-05,141.369995,142.160004,140.369995,141.500000,141.500000,147300500
2012-12-06,141.369995,142.039993,141.160004,141.979996,141.979996,103220600
2012-12-07,142.529999,142.690002,141.669998,142.410004,142.410004,108726400
2012-12-10,142.210007,142.809998,142.149994,142.470001,142.470001,98840700
2012-12-11,143.059998,144.110001,142.990005,143.440002,143.440002,152570400
2012-12-12,144.000000,144.550003,143.309998,143.509995,143.509995,145880100
2012-12-13,143.419998,143.830002,142.270004,142.630005,142.630005,135715000
2012-12-14,142.320007,142.580002,141.880005,142.100006,142.100006,137701700
2012-12-17,142.470001,143.850006,142.429993,143.770004,143.770004,143238200
2012-12-18,144.000000,145.500000,143.789993,145.369995,145.369995,177762800
2012-12-19,145.529999,145.580002,144.240005,144.289993,144.289993,150895400
2012-12-20,144.380005,145.139999,143.979996,145.119995,145.119995,168487000
2012-12-21,142.169998,144.089996,141.940002,142.789993,142.789993,245883800
2012-12-24,142.479996,142.559998,142.190002,142.350006,142.350006,53874600
2012-12-26,142.639999,142.710007,141.350006,141.750000,141.750000,106947700
2012-12-27,141.789993,142.080002,139.919998,141.559998,141.559998,167920600
2012-12-28,140.639999,141.419998,139.869995,140.029999,140.029999,148806700
2012-12-31,139.660004,142.559998,139.539993,142.410004,142.410004,243935200
2013-01-02,145.110001,146.149994,144.729996,146.059998,146.059998,192059000
2013-01-03,145.990005,146.369995,145.339996,145.729996,145.729996,144761800
2013-01-04,145.970001,146.610001,145.669998,146.369995,146.369995,116817700
2013-01-07,145.850006,146.110001,145.429993,145.970001,145.970001,110002500
2013-01-08,145.710007,145.910004,144.979996,145.550003,145.550003,121265100
2013-01-09,145.869995,146.320007,145.639999,145.919998,145.919998,90745600
2013-01-10,146.729996,147.089996,145.970001,147.080002,147.080002,130735400
2013-01-11,147.039993,147.149994,146.610001,147.070007,147.070007,113917300
2013-01-14,146.889999,147.070007,146.429993,146.970001,146.970001,89567200
2013-01-15,146.289993,147.210007,146.199997,147.070007,147.070007,93172600
2013-01-16,146.770004,147.279999,146.610001,147.050003,147.050003,104849500
2013-01-17,147.699997,148.419998,147.149994,148.000000,148.000000,133833500
2013-01-18,147.970001,148.490005,147.429993,148.330002,148.330002,169906000
2013-01-22,148.330002,149.130005,147.979996,149.130005,149.130005,111797300
2013-01-23,149.130005,149.500000,148.860001,149.369995,149.369995,104596100
2013-01-24,149.149994,150.139999,149.009995,149.410004,149.410004,146426400
2013-01-25,149.880005,150.250000,149.369995,150.250000,150.250000,147211600
2013-01-28,150.289993,150.330002,149.509995,150.070007,150.070007,113357700
2013-01-29,149.770004,150.850006,149.669998,150.660004,150.660004,105694400
2013-01-30,150.639999,150.940002,149.929993,150.070007,150.070007,137447700
2013-01-31,149.889999,150.380005,149.600006,149.699997,149.699997,108975800
2013-02-01,150.649994,151.419998,150.389999,151.240005,151.240005,131173000
2013-02-04,150.320007,151.270004,149.429993,149.539993,149.539993,159073600
2013-02-05,150.350006,151.479996,150.289993,151.050003,151.050003,113912400
2013-02-06,150.520004,151.259995,150.410004,151.160004,151.160004,138762800
2013-02-07,151.210007,151.350006,149.860001,150.960007,150.960007,162490000
2013-02-08,151.220001,151.889999,151.220001,151.800003,151.800003,103133700
2013-02-11,151.740005,151.899994,151.389999,151.770004,151.770004,73775000
2013-02-12,151.779999,152.300003,151.610001,152.020004,152.020004,65392700
2013-02-13,152.330002,152.610001,151.720001,152.149994,152.149994,82322600
2013-02-14,151.690002,152.470001,151.520004,152.289993,152.289993,80834300
2013-02-15,152.429993,152.589996,151.550003,152.110001,152.110001,215226500
2013-02-19,152.369995,153.279999,152.160004,153.250000,153.250000,95105400
2013-02-20,153.139999,153.190002,151.259995,151.339996,151.339996,160574800
2013-02-21,150.960007,151.419998,149.940002,150.419998,150.419998,183257000
2013-02-22,151.149994,151.889999,150.490005,151.889999,151.889999,106356600
2013-02-25,152.630005,152.860001,149.000000,149.000000,149.000000,245824800
2013-02-26,149.720001,150.199997,148.729996,150.020004,150.020004,186596200
2013-02-27,149.889999,152.330002,149.759995,151.910004,151.910004,150781900
2013-02-28,151.899994,152.869995,151.410004,151.610001,151.610001,126866000
2013-03-01,151.089996,152.339996,150.410004,152.110001,152.110001,170634800
2013-03-04,151.759995,152.919998,151.520004,152.919998,152.919998,99010200
2013-03-05,153.660004,154.699997,153.639999,154.289993,154.289993,121431900
2013-03-06,154.839996,154.919998,154.160004,154.500000,154.500000,94469900
2013-03-07,154.699997,154.979996,154.520004,154.779999,154.779999,86101400
2013-03-08,155.460007,155.649994,154.660004,155.440002,155.440002,123477800
2013-03-11,155.320007,156.039993,155.130005,156.029999,156.029999,83746800
2013-03-12,155.919998,156.100006,155.210007,155.679993,155.679993,105755800
2013-03-13,155.759995,156.119995,155.229996,155.899994,155.899994,92550900
2013-03-14,156.309998,156.800003,155.910004,156.729996,156.729996,126329900
2013-03-15,155.850006,156.039993,155.309998,155.830002,155.830002,138601100
2013-03-18,154.339996,155.639999,154.199997,154.970001,154.970001,126704300
2013-03-19,155.300003,155.509995,153.589996,154.610001,154.610001,167567300
2013-03-20,155.520004,155.949997,155.259995,155.690002,155.690002,113759300
2013-03-21,154.759995,155.639999,154.100006,154.360001,154.360001,128605000
2013-03-22,154.850006,155.600006,154.729996,155.600006,155.600006,111163600
2013-03-25,156.009995,156.270004,154.350006,154.949997,154.949997,151322300
2013-03-26,155.589996,156.229996,155.419998,156.190002,156.190002,86856600
2013-03-27,155.259995,156.240005,155.000000,156.190002,156.190002,99950600
2013-03-28,156.089996,156.850006,155.750000,156.669998,156.669998,102932800
2013-04-01,156.589996,156.910004,155.669998,156.050003,156.050003,99194100
2013-04-02,156.610001,157.210007,156.369995,156.820007,156.820007,101504300
2013-04-03,156.910004,157.029999,154.820007,155.229996,155.229996,154167400
2013-04-04,155.429993,156.169998,155.089996,155.860001,155.860001,131885000
2013-04-05,153.949997,155.350006,153.770004,155.160004,155.160004,159666000
2013-04-08,155.270004,156.220001,154.750000,156.210007,156.210007,86571200
2013-04-09,156.500000,157.320007,155.979996,156.750000,156.750000,101922200
2013-04-10,157.169998,158.869995,157.130005,158.669998,158.669998,135711100
2013-04-11,158.699997,159.710007,158.539993,159.190002,159.190002,110142500
2013-04-12,158.679993,159.039993,157.919998,158.800003,158.800003,116359900
2013-04-15,158.000000,158.130005,155.100006,155.119995,155.119995,217259000
2013-04-16,156.289993,157.490005,155.910004,157.410004,157.410004,147507800
2013-04-17,156.289993,156.320007,154.279999,155.110001,155.110001,226834800
2013-04-18,155.369995,155.410004,153.550003,154.139999,154.139999,167583200
2013-04-19,154.500000,155.550003,154.119995,155.479996,155.479996,149687600
2013-04-22,155.779999,156.539993,154.750000,156.169998,156.169998,106553500
2013-04-23,156.949997,157.929993,156.169998,157.779999,157.779999,166141300
2013-04-24,157.830002,158.300003,157.539993,157.880005,157.880005,96781200
2013-04-25,158.339996,159.270004,158.100006,158.520004,158.520004,131060600
2013-04-26,158.330002,158.600006,157.729996,158.240005,158.240005,95918800
2013-04-29,158.669998,159.649994,158.419998,159.300003,159.300003,88572800
2013-04-30,159.270004,159.720001,158.610001,159.679993,159.679993,116010700
2013-05-01,159.330002,159.410004,158.100006,158.279999,158.279999,138874200
2013-05-02,158.679993,159.889999,158.529999,159.750000,159.750000,96407600
2013-05-03,161.139999,161.880005,159.779999,161.369995,161.369995,144202300
2013-05-06,161.490005,162.009995,161.419998,161.779999,161.779999,66882100
2013-05-07,162.130005,162.649994,161.669998,162.600006,162.600006,90359200
2013-05-08,162.419998,163.389999,162.330002,163.339996,163.339996,97419200
2013-05-09,163.270004,163.699997,162.470001,162.880005,162.880005,106738600
2013-05-10,162.990005,163.550003,162.509995,163.410004,163.410004,103203000
2013-05-13,163.199997,163.809998,162.820007,163.539993,163.539993,81843200
2013-05-14,163.669998,165.350006,163.669998,165.229996,165.229996,119000900
2013-05-15,164.960007,166.449997,164.910004,166.119995,166.119995,120718500
2013-05-16,165.779999,166.360001,165.089996,165.339996,165.339996,109913600
2013-05-17,165.949997,167.039993,165.729996,166.940002,166.940002,129801000
2013-05-20,166.779999,167.580002,166.610001,166.929993,166.929993,85071200
2013-05-21,167.080002,167.800003,166.500000,167.169998,167.169998,95804200
2013-05-22,167.339996,169.070007,165.169998,165.929993,165.929993,244031800
2013-05-23,164.160004,165.910004,163.940002,165.449997,165.449997,211064400
2013-05-24,164.470001,165.380005,163.979996,165.309998,165.309998,151573900
2013-05-28,167.039993,167.779999,165.809998,166.300003,166.300003,143679800
2013-05-29,165.419998,165.800003,164.339996,165.220001,165.220001,160363400
2013-05-30,165.350006,166.589996,165.220001,165.830002,165.830002,107793800
2013-05-31,165.369995,166.309998,163.130005,163.449997,163.449997,176850100
2013-06-03,163.830002,164.460007,162.660004,164.350006,164.350006,168390700
2013-06-04,164.440002,165.100006,162.729996,163.559998,163.559998,157631500
2013-06-05,163.089996,163.419998,161.130005,161.270004,161.270004,211737800
2013-06-06,161.199997,162.740005,160.250000,162.729996,162.729996,200225500
2013-06-07,163.850006,164.949997,163.139999,164.800003,164.800003,188337800
2013-06-10,165.309998,165.399994,164.369995,164.800003,164.800003,105667100
2013-06-11,163.300003,164.539993,162.740005,163.100006,163.100006,159505400
2013-06-12,164.220001,164.389999,161.600006,161.750000,161.750000,177361500
2013-06-13,161.660004,164.500000,161.300003,164.210007,164.210007,163587800
2013-06-14,164.029999,164.669998,162.910004,163.179993,163.179993,141197500
2013-06-17,164.289993,165.220001,163.220001,164.440002,164.440002,136295600
2013-06-18,164.529999,165.990005,164.520004,165.740005,165.740005,114695600
2013-06-19,165.600006,165.889999,163.380005,163.449997,163.449997,206149500
2013-06-20,161.860001,163.470001,158.979996,159.399994,159.399994,321255900
2013-06-21,159.639999,159.759995,157.470001,159.070007,159.070007,271956800
2013-06-24,157.410004,158.429993,155.729996,157.059998,157.059998,222329000
2013-06-25,158.479996,160.100006,157.419998,158.570007,158.570007,162262200
2013-06-26,159.869995,160.500000,159.250000,160.139999,160.139999,134848000
2013-06-27,161.100006,161.820007,160.949997,161.080002,161.080002,129483700
2013-06-28,160.630005,161.399994,159.860001,160.419998,160.419998,160402900
2013-07-01,161.259995,162.479996,161.080002,161.360001,161.360001,131954800
2013-07-02,161.119995,162.300003,160.500000,161.210007,161.210007,154863700
2013-07-03,160.479996,161.770004,160.220001,161.279999,161.279999,75216400
2013-07-05,162.470001,163.080002,161.300003,163.020004,163.020004,122416900
2013-07-08,163.860001,164.389999,163.080002,163.949997,163.949997,108092500
2013-07-09,164.979996,165.330002,164.270004,165.130005,165.130005,119298000
2013-07-10,164.970001,165.750000,164.630005,165.190002,165.190002,121410100
2013-07-11,167.110001,167.610001,165.179993,167.440002,167.440002,135592200
2013-07-12,167.389999,167.929993,167.130005,167.509995,167.509995,104212700
2013-07-15,167.970001,168.389999,167.679993,168.149994,168.149994,69450600
2013-07-16,168.259995,168.360001,167.070007,167.520004,167.520004,88702100
2013-07-17,168.160004,168.479996,167.729996,167.949997,167.949997,92873900
2013-07-18,168.309998,169.270004,168.199997,168.869995,168.869995,103620100
2013-07-19,168.520004,169.229996,168.309998,169.169998,169.169998,103831700
2013-07-22,169.410004,169.740005,169.009995,169.500000,169.500000,79428600
2013-07-23,169.800003,169.830002,169.050003,169.139999,169.139999,80829700
2013-07-24,169.789993,169.860001,168.179993,168.520004,168.520004,112914000
2013-07-25,168.220001,169.080002,167.940002,168.929993,168.929993,111088600
2013-07-26,168.220001,169.160004,167.520004,169.110001,169.110001,107814600
2013-07-29,168.679993,169.059998,168.110001,168.589996,168.589996,79695000
2013-07-30,169.100006,169.279999,168.190002,168.589996,168.589996,85209600
2013-07-31,168.940002,169.850006,168.490005,168.710007,168.710007,142388700
2013-08-01,169.990005,170.809998,169.899994,170.660004,170.660004,110438400
2013-08-02,170.279999,170.970001,170.050003,170.949997,170.949997,91116700
2013-08-05,170.570007,170.960007,170.350006,170.699997,170.699997,54072700
